ID,Tipo,SKU,"GTIN, UPC, EAN, ou ISBN",Nome,Publicado,"Em destaque?","Visibilidade no catálogo","Descrição curta",Descrição,"Data de preço promocional começa em","Data de preço promocional termina em","Status do imposto","Classe de imposto","Em estoque?",Estoque,"Quantidade baixa de estoque","São permitidas encomendas?","Vendido individualmente?","Peso (kg)","Comprimento (cm)","Largura (cm)","Altura (cm)","Permitir avaliações de clientes?","Observação de compra","Preço promocional",Preço,Categorias,Tags,"Classe de entrega",Imagens,"Limite de downloads","Dias para expirar o download",Ascendente,"Grupo de produtos",Upsells,"Venda cruzada","URL externa","Texto do botão",Posição,Marcas
591,simple,ALGIC2,,"ALGICIDA DE MANUTENÇÃO GENCO",1,0,visible,,"Algicida preventivo para manutenção de piscinas, prolonga a limpeza da água.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/ALGIC2.jpg,,,,,,,,,0,
592,simple,AROMA2,,"AROMATIZADOR FORT AIR 5L",1,0,visible,,"Aromatizador de ambientes com fragrância intensa, ideal para grandes espaços.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/AROMA2.jpg,,,,,,,,,0,
593,simple,58807,,"Balde plastico reforcado oval 15L c/ espremedor c/ alca preto - Nobre",1,0,visible,,"Balde plástico oval com espremedor reforçado, ideal para limpeza pesada.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/58807.jpg,,,,,,,,,0,
594,simple,2578,,"BLOCO PARA CAIXA ACOPLADA SANOL LAVANDA (02 UNIDADES)  35G",1,0,visible,,"Pastilhas para sanitário com fragrância lavanda, uso em caixas acopladas.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/2578.jpg,,,,,,,,,0,
595,simple,BORIF1,,"BORRIFADOR 500 ML",1,0,visible,,"Borrifador plástico resistente, capacidade de 500 ml, ideal para produtos de limpeza.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/BORIF1.jpg,,,,,,,,,0,
596,simple,BOTIN1,,"BOTINA MONOELASTICO",1,0,visible,,"Botina com elástico lateral, confortável, ideal para uso profissional prolongado.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/BOTIN1.jpg,,,,,,,,,0,
597,simple,CARRI3,,"CARRINHO BALDE 28 LITROS",1,0,visible,,"Carrinho de limpeza com balde de 28 litros e espremedor.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/CARRI3.jpg,,,,,,,,,0,
598,simple,CLARO1,,"CLARO PASTINHA 200G HIDROAZUL",1,0,visible,,"Pastilha clarificante para piscinas, remove oleosidade e sujeiras da superfície.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/CLARO1.jpg,,,,,,,,,0,
599,simple,CLIPS2,,CLIPS,1,0,visible,,"Clips metálicos para papel, ideal para escritórios e organização de documentos.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,https://cleanx.com.br/wp-content/uploads/2025/05/CLIPS2.jpg,,,,,,,,,0,
600,simple,602297,,"CLORO 10 KG MULTIACAO OXYPOWER ASTRALPOOL",1,0,visible,,"Cloro multifunção para tratamento de piscinas, 10 kg, uso prolongado.",,,taxable,,1,1,,0,0,,,,,1,,,"9,99","Material de Piscina, Uncategorized",,,,,,,,,,,,0,
